id,School,Class Period,Condition,Consent,Unit 2 Pre-Test Type,Unit 2 Pre-Test,Unit 2 Post-Test,Unit 2 Learning Gain,Unit 4 Pre-Test Type,Unit 4 Pre-Test,Unit 4 Post-Test,Unit 4 Learning Gain,Number of Assists,# EX Problems Completed,# AP problems completed,Percent AP Correct,Percent Observations On Task,Percent Observations Off Task,Percent Observations Idle or ?,Total Observations,Unit2_Pre_1.A,Unit2_Pre_1.B,Unit2_Pre_1.C,Unit2_Pre_1.D,Unit2_Pre_1.E,Unit2_Pre_1.F,Unit2_Pre_2.A,Unit2_Pre_2.B,Unit2_Pre_3.A,Unit2_Pre_3.B,Unit2_Pre_3.C,Unit2_Pre_3.D,Unit2_Pre_4,Unit2_Pre_5.A,Unit2_Pre_5.B,Unit2_Pre_5.C,Unit2_Pre_5.D,Unit2_Pre_5.E,Unit2_Pre_5.F,Unit2_Pre_5.G,Unit2_Pre_5.H,Unit2_Pre_5.I,Unit2_Pre_5.J,Unit2_Pre_5.K,Unit2_Pre_6.A,Unit2_Pre_6.B,Unit2_Pre_7.A,Unit2_Pre_7.B,Unit2_Pre_8.A,Unit2_Pre_8.B,Unit2_Post_1.A,Unit2_Post_1.B,Unit2_Post_1.C,Unit2_Post_1.D,Unit2_Post_1.E,Unit2_Post_1.F,Unit2_Post_2.A,Unit2_Post_2.B,Unit2_Post_3.A,Unit2_Post_3.B,Unit2_Post_3.C,Unit2_Post_3.D,Unit2_Post_4,Unit2_Post_5.A,Unit2_Post_5.B,Unit2_Post_5.C,Unit2_Post_5.D,Unit2_Post_5.E,Unit2_Post_5.F,Unit2_Post_5.G,Unit2_Post_5.H,Unit2_Post_5.I,Unit2_Post_5.J,Unit2_Post_5.K,Unit2_Post_6.A,Unit2_Post_6.B,Unit2_Post_7.A,Unit2_Post_7.B,Unit2_Post_8.A,Unit2_Post_8.B,Unit4_Pre_1.A,Unit4_Pre_1.B,Unit4_Pre_1.C,Unit4_Pre_1.D,Unit4_Pre_1.E,Unit4_Pre_1.F,Unit4_Pre_2.A,Unit4_Pre_2.B,Unit4_Pre_3.A,Unit4_Pre_3.B,Unit4_Pre_3.C,Unit4_Pre_3.D,Unit4_Pre_3.E,Unit4_Pre_3.F,Unit4_Pre_3.G,Unit4_Pre_3.H,Unit4_Pre_3.I,Unit4_Pre_3.J,Unit4_Pre_4.A,Unit4_Pre_4.B,Unit4_Pre_5.A,Unit4_Pre_5.B,Unit4_Post_1.A,Unit4_Post_1.B,Unit4_Post_1.C,Unit4_Post_1.D,Unit4_Post_1.E,Unit4_Post_3.A,Unit4_Post_3.B,Unit4_Post_3.C,Unit4_Post_3.D,Unit4_Post_3.E,Unit4_Post_3.F,Unit4_Post_3.G,Unit4_Post_3.H,Unit4_Post_3.I,Unit4_Post_3.J,Unit4_Post_4.A,Unit4_Post_4.B,Unit4_Post_5.A,Unit4_Post_5.B
444,TAF,2,tablet,Y,B,6,17,11,A,6,21,15,0,1958,495,98.38383838,84.76190476,3.80952381,11.42857143,105,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
445,TAF,2,tablet,Y,B,15,28,13,B,16,22,6,0,2701,575,100,90.74074074,2.777777778,6.481481481,108,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
446,TAF,2,tablet,Y,B,16,26,10,A,18,22,4,0,2496,498,99.19678715,86.23853211,7.339449541,6.422018349,109,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
447,TAF,2,tablet,Y,B,15,28,13,B,10,22,12,3,2501,440,97.72727273,90.56603774,1.886792453,7.547169811,106,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
448,TAF,2,tablet,Y,A,15,30,15,B,16,22,6,1,2789,530,98.86792453,91.58878505,0.934579439,7.476635514,107,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
449,TAF,2,tablet,,B,10,12,2,B,4,8,4,8,1153,212,97.64150943,59.25925926,14.81481481,25.92592593,108,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1
450,TAF,2,tablet,,A,7,13,6,B,7,19,12,0,1485,282,94.68085106,86.11111111,7.407407407,6.481481481,108,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
451,TAF,2,tablet,Y,B,6,9,3,A,3,12,9,4,1366,295,97.62711864,89.62264151,2.830188679,7.547169811,106,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0
452,TAF,2,tablet,Y,A,10,26,16,A,8,18,10,1,1634,332,95.48192771,91.50943396,3.773584906,4.716981132,106,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
454,TAF,2,tablet,Y,B,10,22,12,A,19,22,3,0,2211,530,100,93.33333333,1.904761905,4.761904762,105,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
